old_name,new_name
LM.NA_NDN_XUAN_LAM$NA_NDN_XUAN_LAM_2.kml,NA_NDN_XUAN_LAM-NA_NDN_XUAN_LAM_2.kml
LM.NA_NDN_HONG_LONG$NA_NDN_HUNG_TIEN_2.kml,NA_NDN_HUNG_TIEN_2-NA_NDN_HONG_LONG.kml
LM.NA_NDN_KIM_LIEN$NA_NDN_NAM_LINH_2.kml,NA_NDN_NAM_LINH_2-NA_NDN_KIM_LIEN.kml
LM.NA_NLC_CN_NAM_CAM$NA_NLC_NGHI_THUAN_2.kml,NA_NLC_CN_NAM_CAM-NA_NLC_NGHI_THUAN_2.kml
LM.NA_NLC_NGHI_CONG_NAM$NA_NLC_NGHI_CONG_NAM_2.kml,NA_NLC_NGHI_CONG_NAM_2-NA_NLC_NGHI_CONG_NAM.kml
LM.NA_NLC_NGHI_DIEN$NA_NLC_NGHI_DONG.kml,NA_NLC_NGHI_DIEN-NA_NLC_NGHI_DONG.kml
LM.NA_NLC_NGHI_DUC$NA_NLC_NGHI_AN.kml,NA_NLC_NGHI_DUC-NA_NLC_NGHI_AN.kml
LM.NA_NLC_NGHI_HOA$NA_NLC_NGHI_HOA_2.kml,NA_NLC_NGHI_HOA_2-NA_NLC_NGHI_HOA.kml
LM.NA_NLC_NGHI_HOP_2$NA_NLC_NGHI_HOP.kml,NA_NLC_NGHI_HOP_2-NA_NLC_NGHI_HOP.kml
LM.NA_NLC_NGHI_HUNG$NA_NLC_NGHI_HUNG_2.kml,NA_NLC_NGHI_HUNG-NA_NLC_NGHI_HUNG_2.kml
LM.NA_NLC_NGHI_HUNG_2$NA_NLC_NGHI_PHUONG.kml,NA_NLC_NGHI_HUNG_2-NA_NLC_NGHI_PHUONG.kml
LM.NA_NLC_NGHI_KHANH$NA_NLC_NGHI_HOP.kml,NA_NLC_NGHI_KHANH-NA_NLC_NGHI_HOP.kml
LM.NA_NLC_NGHI_LONG$NA_NLC_NGHI_QUANG.kml,NA_NLC_NGHI_LONG-NA_NLC_NGHI_QUANG.kml
CSG8.NA_NLC_NGHI_MY$NA_NLC_NGHI_PHUONG.kml,NA_NLC_NGHI_MY-NA_NLC_NGHI_PHUONG.kml
LM.NA_NLC_NGHI_MY_2$NA_NLC_NGHI_MY.kml,NA_NLC_NGHI_MY_2-NA_NLC_NGHI_MY.kml
LM.NA_NLC_NGHI_MY$NA_NLC_NGHI_MY_3.kml,NA_NLC_NGHI_MY_3-NA_NLC_NGHI_MY.kml
LM.NA_NLC_NGHI_PHONG$NA_NLC_NGHI_THAI_2.kml,NA_NLC_NGHI_PHONG-NA_NLC_NGHI_THAI_2.kml
LM.NA_NLC_NGHI_PHUONG_2$NA_NLC_NGHI_PHUONG.kml,NA_NLC_NGHI_PHUONG_2-NA_NLC_NGHI_PHUONG.kml
LM.NA_NLC_NGHI_THACH$NA_NLC_NGHI_AN.kml,NA_NLC_NGHI_THACH-NA_NLC_NGHI_AN.kml
LM.NA_NLC_NGHI_THAI$NA_NLC_NGHI_THAI_2.kml,NA_NLC_NGHI_THAI-NA_NLC_NGHI_THAI_2.kml
LM.NA_NLC_NGHI_THIET$NA_NLC_NGHI_QUANG.kml,NA_NLC_NGHI_THIET-NA_NLC_NGHI_QUANG.kml
